 ID ; Konzert_Kategorie ;Konzert_Prod; Konzert_VerkaufteTickets ; Konzert_VenueOrt ;Konzert_Artist;Konzert_Datum;Venue_Flaeche;Venue_StromErneuerbar;Venue_StromKonventiell;Venue_Heizoel;Venue_Erdgas;Venue_Biogas;Venue_Holzenergie;Venue_Solarthermie;Venue_Fernwaerme;Venue_Fernkaelte;Venue_KuehlungKaeltemittel;Venue_NennleistungKuehlungKaeltemittel;Venue_DieselGeneratoren;Konzert_AnzahlBesucher;Mob_Besucher_DurchschnittOEV_km;Mob_Besucher_AnteilOEV;Mob_Besucher_TotalOEV_km;Mob_Besucher_DurchschnittPKW_km;Mob_Besucher_AnteilPKW;Mob_Besucher_TotalPKW;Mob_MALocalCrew_Anzahl;Mob_MALocalCrew_DurchschnittOEV_km;Mob_MALocalCrew_AnteilOEV;Mob_MALocalCrew_TotalOEV_km;Mob_MARigger_Anzahl;Mob_MARigger_DurchschnittOEV_km;Mob_MARigger_AnteilOEV;Mob_MARigger_TotalOEV_km;Mob_MAGastro_Anzahl;Mob_MAGastro_DurchschnittOEV_km;Mob_MAGastro_AnteilOEV;Mob_MAGastro_TotalOEV_km;Mob_MASecurity_Anzahl;Mob_MASecurity_DurchschnittOEV_km;Mob_MASecurity_AnteilOEV;Mob_MASecurity_TotalOEV_km;Mob_MA_TotalOEV_km;Mob_MALocalCrew_DurchschnittPKW_km;Mob_MALocalCrew_AnteilPKW;Mob_MALocalCrew_TotalPKW_km;Mob_MARigger_DurchschnittPKW_km;Mob_MARigger_AnteilPKW;Mob_MARigger_TotalPKW_km;Mob_MAGastro_DurchschnittPKW_km;Mob_MAGastro_AnteilPKW;Mob_MAGastro_TotalPKW_km;Mob_MASecurity_DurchschnittPKW_km;Mob_MASecurity_AnteilPKW;Mob_MASecurity_TotalPKW_km;Mob_MA_TotalPKW_km;Mob_Artist_Anzahl;Mob_Artist_Bus_km;Mob_Artist_AnzahlBus;Mob_Artist_AnteilOEV;Mob_Artist_TotalBus;Mob_Artist_TotalKurzstreckenFluege;Mob_Artist_TotalMittelstreckenFluege;Mob_Artist_TotalLangstreckenFluege;Mob_Artist_TotalHotel2_3Stern;Mob_Artist_TotalHotel4Stern;Mob_Artist_TotalHotel5Stern;Trans_Artist_VanLieferwagenMenge;Trans_Artist_VanLieferwagenDistanz;Trans_MALocal_VanLieferwagenMenge;Trans_MALocal_VanLieferwagenDistanz;Trans_Artist_LKW_16_32t_Menge;Trans_Artist_LKW_16_32t_Distanz;Trans_MALocal_LKW_16_32t_Menge;Trans_MALocal_LKW_16_32t_Distanz;Trans_Artist_LKW_40t_Menge;Trans_Artist_LKW_40t_DistanzKm;Trans_Artist_LKW_40t_DistanzTotal;Trans_MALocal_LKW_40t_Menge;Trans_MALocal_LKW_40t_DistanzKM;Trans_MALocal_LKW_40t_DistanzTotal;Trans_NA_BahnMenge;Trans_NA_BahnDistanz;Trans_NA_FrachtschiffMenge;Trans_NA_FrachtschiffDistanz;Trans_NA_LuftfrachtMenge;Trans_NA_LuftfrachtDistanz;Verp_Besucher_MineralwasserSoftdrinks;Verp_MALocal_MineralwasserSoftdrinks;Verp_Artist_MineralwasserSoftdrinks;Verp_Besucher_KaffeeTassen;Verp_MALocal_KaffeeTassen;Verp_Artist_KaffeeTassen;Verp_Besucher_TeeTassen;Verp_MALocal_TeeTassen;Verp_Artist_TeeTassen;Verp_Besucher_Bier;Verp_MALocal_Bier;Verp_Artist_Bier;Verp_Besucher_Wein;Verp_MALocal_Wein;Verp_Artist_Wein;Verp_Besucher_Spirituosen;Verp_MALocal_Spirituosen;Verp_Artist_Spirituosen;Verp_Besucher_MahlzeitenNichtVeg;Verp_MALocal_MahlzeitenNichtVeg;Verp_Artist_MahlzeitenNichtVeg;Verp_Besucher_MahlzeitenVeg;Verp_MALocal_MahlzeitenVeg;Verp_Artist_MahlzeitenVeg;Verp_Besucher_Snacks;Verp_MALocal_Snacks;Verp_Artist_Snacks;Mat_Venue_Merchandising;Mat_Venue_Leitungswasser;Mat_Venue_Kunststoffe;Mat_Venue_RecyclierbareMaterialien;Mat_Venue_PflanzlicheMaterialien;Mat_Venue_Mehrweg;Mat_PromotionAIO_DrucksachenFrischfaserpapier;Mat_PromotionAIO_DrucksachenRecyclingpapier;Mat_MALocal_CrewShirtsWaschen;Mat_Artist_TowelsWaschen;Mat_Besucher_Earplugs_mod;Mat_Besucher_Earplugs;AbfRec_Venue_BetriebsabfaelleKehrichtInKVA;AbfRec_Venue_AllgemeineRecyclingAbfaelle
1;4a_Hasta_int;PSS;6215.00;Hallenstadion, Zürich;Bryan Adams;05.02.2022;5800.00;4302.05;;;;;;;12010.00;;;;0.00;5904.00;;;251215.85;;;210819.63;56.00;10.00;0.20;112.00;12.00;;0.00;0.00;;;;;51.00;10.00;0.80;408.00;520.00;20.00;0.80;896.00;200.00;1.00;2400.00;;;;10.00;0.20;102.00;3398.00;;300.00;3.00;;900.00;;;;;;;;;3.00;;;;;;7.00;600.00;4200.00;;;;0.00;0.00;0.00;0.00;0.00;0.00;1485.39;241.00;;130.52;93.00;;23.00;0.00;;2146.04;56.00;;508.39;0.00;;955.87;0.00;;1437.53;47.60;;1622.12;20.40;;142.95;68.00;;;;;;;;;;51.00;;2952.00;;;
2;1_Klein_nat;PSS;1492.00;Theater 11, Zürich;Patent Ochsner;15.02.2022;1700.00;;;;;;;;;;;;0.00;1417.00;;;40709.78;;;16906.55;;;;;;;0.00;0.00;;;;;;10.00;0.80;;0.00;20.00;;;;1.00;;;;;10.00;0.20;;0.00;;300.00;;;;;;;;;;;;;;;;;;;600.00;;;;;0.00;0.00;0.00;0.00;0.00;0.00;;;;;;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;;;;;;;;0.00;;709.00;;;
3;1_Klein_nat;PSS;1344.00;Theater 11, Zürich;Patent Ochsner;16.02.2022;1700.00;;;;;;;;;;;;0.00;1277.00;;;36671.55;;;15229.49;;;;;;;0.00;0.00;;;;;;10.00;0.80;;0.00;20.00;;;;1.00;;;;;10.00;0.20;;0.00;;300.00;;;;;;;;;;;;;;;;;;;600.00;;;;;0.00;0.00;0.00;0.00;0.00;0.00;;;;;;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;;;;;;;;0.00;;639.00;;;
4;1_Klein_nat;PSS;1039.00;Theater 11, Zürich;Patent Ochsner;17.02.2022;1700.00;;;;;;;;;;;;0.00;987.00;;;28349.51;;;11773.39;;;;;;;0.00;0.00;;;;;;10.00;0.80;;0.00;20.00;;;;1.00;;;;;10.00;0.20;;0.00;;300.00;;;;;;;;;;;;;;;;;;;600.00;;;;;0.00;0.00;0.00;0.00;0.00;0.00;;;;;;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;;;;;;;;0.00;;494.00;;;
5;1_Klein_nat;;385.00;Volkshaus, Basel;Seven;25.02.2022;605.00;;;;;;;;;;;;0.00;366.00;;;10504.87;;;4362.61;;;;;0.00;;0.00;0.00;;;;;;10.00;0.80;;0.00;20.00;;;;1.00;0.00;;;;10.00;0.20;;0.00;;300.00;;;;;;;;;;;;;;;;;;;600.00;;;;;0.00;0.00;0.00;0.00;0.00;0.00;;;;;;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;;;;;;;;0.00;;183.00;;;
6;1_Klein_nat;;1135.00;Casino, Bern;Patent Ochsner;28.02.2022;439.00;;;;;;;;;;;;0.00;1078.00;;;30968.90;;;12861.21;;;;;0.00;;0.00;0.00;;;;;;10.00;0.80;;0.00;20.00;;;;1.00;0.00;;;;10.00;0.20;;0.00;;300.00;;;;;;;;;;;;;;;;;;;600.00;;;;;0.00;0.00;0.00;0.00;0.00;0.00;;;;;;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;;;;;;;;0.00;;539.00;;;
7;1_Klein_nat;;1138.00;Casino, Bern;Patent Ochsner;01.03.2022;439.00;;;;;;;;;;;;0.00;1081.00;;;31050.76;;;12895.21;;;;;0.00;;0.00;0.00;;;;;;10.00;0.80;;0.00;20.00;;;;1.00;0.00;;;;10.00;0.20;;0.00;;300.00;;;;;;;;;;;;;;;;;;;600.00;;;;;0.00;0.00;0.00;0.00;0.00;0.00;;;;;;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;;;;;;;;0.00;;541.00;;;
8;1_Klein_nat;;976.00;Casino, Bern;Patent Ochsner;02.03.2022;439.00;;;;;;;;;;;;0.00;927.00;;;26630.53;;;11059.51;;;;;0.00;;0.00;0.00;;;;;;10.00;0.80;;0.00;20.00;;;;1.00;0.00;;;;10.00;0.20;;0.00;;300.00;;;;;;;;;;;;;;;;;;;600.00;;;;;0.00;0.00;0.00;0.00;0.00;0.00;;;;;;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;;;;;;;;0.00;;464.00;;;
9;1_Klein_nat;;816.00;Casino, Bern;Patent Ochsner;03.03.2022;439.00;;;;;;;;;;;;0.00;775.00;;;22264.87;;;9246.48;;;;;0.00;;0.00;0.00;;;;;;10.00;0.80;;0.00;20.00;;;;1.00;0.00;;;;10.00;0.20;;0.00;;300.00;;;;;;;;;;;;;;;;;;;600.00;;;;;0.00;0.00;0.00;0.00;0.00;0.00;;;;;;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;;;;;;;;0.00;;388.00;;;
10;1_Klein_nat;PSS;1362.00;KKL, Luzern;Patent Ochsner;07.03.2022;2100.00;;;;;;;;;;;;0.00;1294.00;;;37162.68;;;15433.46;;;;;;;0.00;0.00;;;;;;10.00;0.80;;0.00;20.00;;;;1.00;;;;;10.00;0.20;;0.00;;300.00;;;;;;;;;;;;;;;;;;;600.00;;;;;0.00;0.00;0.00;0.00;0.00;0.00;;;;;;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;;;;;;;;0.00;;647.00;;;
11;1_Klein_nat;PSS;1300.00;KKL, Luzern;Patent Ochsner;08.03.2022;2100.00;;;;;;;;;;;;0.00;1235.00;;;35470.99;;;14730.91;;;;;;;0.00;0.00;;;;;;10.00;0.80;;0.00;20.00;;;;1.00;;;;;10.00;0.20;;0.00;;300.00;;;;;;;;;;;;;;;;;;;600.00;;;;;0.00;0.00;0.00;0.00;0.00;0.00;;;;;;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;;;;;;;;0.00;;618.00;;;
12;4a_Hasta_int;PSS;11220.00;Hallenstadion, Zürich;James Blunt;09.03.2022;5800.00;2823.75;;;;;;;12033.00;;;;0.00;10659.00;;;453522.42;;;380594.73;36.00;10.00;0.20;72.00;9.00;;0.00;0.00;;;;;93.00;10.00;0.80;744.00;816.00;20.00;0.80;576.00;200.00;1.00;1800.00;;;;10.00;0.20;186.00;2562.00;;300.00;0.00;;0.00;;;;;;;;;;;;;;;4.00;600.00;2400.00;;;;0.00;0.00;0.00;0.00;0.00;0.00;2681.58;215.00;;235.62;63.00;;41.51;0.00;;3874.27;36.00;;917.80;0.00;;1725.64;0.00;;2595.19;31.50;;2928.42;13.50;;258.06;45.00;;;;;;;;;;93.00;40.00;5330.00;;;
13;1_Klein_nat;;545.00;Kaufleuten, Zürich;Bastian Baker;09.03.2022;550.00;;;;;;;;;;;;0.00;518.00;;;14870.53;;;6175.65;;;;;0.00;;0.00;0.00;;;;;;10.00;0.80;;0.00;20.00;;;;1.00;0.00;;;;10.00;0.20;;0.00;;300.00;;;;;;;;;;;;;;;;;;;600.00;;;;;0.00;0.00;0.00;0.00;0.00;0.00;;;;;;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;;;;;;;;0.00;;259.00;;;
14;4_Gross_int;PSS;2413.00;THE HALL, Zürich;Amy Macdonald;10.03.2022;2000.00;;;;;;;;;;;;0.00;2292.00;;;87510.33;;;60855.48;;10.00;0.20;;;;0.00;0.00;;;;;;10.00;0.80;;0.00;20.00;0.80;;200.00;1.00;;;;;10.00;0.20;;0.00;;300.00;;;;;;;;;;;;;;;;;;;600.00;;;;;0.00;0.00;0.00;0.00;0.00;0.00;;;;;;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;;;;;;;;0.00;;1146.00;;;
15;2_Klein_int;;1050.00;Kaufleuten, Zürich;Metronomy;10.03.2022;550.00;;;;;;;;;;;;0.00;998.00;;;39717.36;;;21551.29;;;;;0.00;;0.00;0.00;;;;;;10.00;0.80;;0.00;20.00;;;;1.00;0.00;;;;10.00;0.20;;0.00;;300.00;;;;;;;;;;;;;;;;;;;600.00;;;;;0.00;0.00;0.00;0.00;0.00;0.00;;;;;;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;;;;;;;;0.00;;499.00;;;
16;1_Klein_nat;;881.00;Westhalle, Langenthal;Heimweh;12.03.2022;;;;;;;;;;;;;0.00;837.00;;;24038.42;;;9983.02;;;;;0.00;;0.00;0.00;;;;;;10.00;0.80;;0.00;20.00;;;;1.00;0.00;;;;10.00;0.20;;0.00;;300.00;;;;;;;;;;;;;;;;;;;600.00;;;;;0.00;0.00;0.00;0.00;0.00;0.00;;;;;;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;;;;;;;;0.00;;419.00;;;
17;4_Gross_int;PSS;5030.00;THE HALL, Zürich;Paul Kalkbrenner;12.03.2022;2000.00;;;;;;;;;;;;0.00;4779.00;;;182418.95;;;126855.81;27.00;10.00;0.20;54.00;4.50;;0.00;0.00;;;;;52.00;10.00;0.80;416.00;470.00;20.00;0.80;432.00;200.00;1.00;900.00;;;;10.00;0.20;104.00;1436.00;;300.00;0.00;;0.00;;;;;;;;;;;;;;;2.00;600.00;1200.00;;;;0.00;0.00;0.00;0.00;0.00;0.00;;76.50;;;77.00;;;0.00;;;27.00;;;0.00;;;0.00;;;22.05;;;9.45;;;31.50;;;;;;;;;;52.00;80.00;2390.00;;;
18;2_Klein_int;;1037.00;Kaufleuten, Zürich;Caribou ;13.03.2022;550.00;;;;;;;;;;;;0.00;985.00;;;39225.62;;;21284.46;;;;;0.00;;0.00;0.00;;;;;;10.00;0.80;;0.00;20.00;;;;1.00;0.00;;;;10.00;0.20;;0.00;;300.00;;;;;;;;;;;;;;;;;;;600.00;;;;;0.00;0.00;0.00;0.00;0.00;0.00;;;;;;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;;;;;;;;0.00;;493.00;;;
19;1_Klein_nat;PSS;678.00;Kongresshaus, Biel ;Heimweh;13.03.2022;;;;;;;;;;;;;0.00;644.00;;;18499.48;;;7682.73;;;;;;;0.00;0.00;;;;;;10.00;0.80;;0.00;20.00;;;;1.00;;;;;10.00;0.20;;0.00;;300.00;;;;;;;;;;;;;;;;;;;600.00;;;;;0.00;0.00;0.00;0.00;0.00;0.00;;;;;;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;;;;;;;;0.00;;322.00;;;
20;2_Klein_int;PSS;1191.00;Theater 11, Zürich;Kings of Convenience;17.03.2022;1700.00;;;;;;;;;;;;0.00;1131.00;;;45050.84;;;24445.32;5.00;;0.20;0.00;0.00;;0.00;0.00;;;;;0.00;10.00;0.80;0.00;0.00;20.00;0.80;80.00;;1.00;0.00;;;;10.00;0.20;0.00;80.00;;300.00;0.00;;0.00;;;;;;;;;;;;;;;0.00;600.00;0.00;;;;0.00;0.00;0.00;0.00;0.00;0.00;;30.00;;;30.00;;;0.00;;;5.00;;;0.00;;;0.00;;;3.50;;;1.50;;;5.00;;;;;;;;;;0.00;12.00;566.00;;;
21;2_Klein_int;;76.00;Papiersaal, Zürich;Easy Life;21.03.2022;430.00;;;;;;;;;;;;0.00;72.00;;;2874.78;;;1559.90;;;;;0.00;;0.00;0.00;;;;;;10.00;0.80;;0.00;20.00;;;;1.00;0.00;;;;10.00;0.20;;0.00;;300.00;;;;;;;;;;;;;;;;;;;600.00;;;;;0.00;0.00;0.00;0.00;0.00;0.00;;;;;;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;;;;;;;;0.00;;36.00;;;
22;1_Klein_nat;;1567.00;Musical Theater, Basel;Patent Ochsner;22.03.2022;900.00;;;;;;;;;;;;0.00;1489.00;;;42756.18;;;17756.41;;;;;0.00;;0.00;0.00;;;;;;10.00;0.80;;0.00;20.00;;;;1.00;0.00;;;;10.00;0.20;;0.00;;300.00;;;;;;;;;;;;;;;;;;;600.00;;;;;0.00;0.00;0.00;0.00;0.00;0.00;;;;;;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;;;;;;;;0.00;;745.00;;;
23;1_Klein_nat;;1389.00;Musical Theater, Basel;Patent Ochsner;23.03.2022;900.00;;;;;;;;;;;;0.00;1320.00;;;37899.39;;;15739.41;;;;;0.00;;0.00;0.00;;;;;;10.00;0.80;;0.00;20.00;;;;1.00;0.00;;;;10.00;0.20;;0.00;;300.00;;;;;;;;;;;;;;;;;;;600.00;;;;;0.00;0.00;0.00;0.00;0.00;0.00;;;;;;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;;;;;;;;0.00;;660.00;;;
24;2_Klein_int;;650.00;Dynamo, Zürich;Fontaines DC;24.03.2022;442.00;;;;;;;;;;;;0.00;618.00;;;24586.94;;;13341.27;;;1.00;;0.00;;0.00;0.00;4.00;;0.10;0.00;;10.00;0.80;;0.00;20.00;0.00;;;1.00;0.00;;0.00;0.00;10.00;0.20;;0.00;12.00;300.00;1.00;0.00;300.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;;;;;;0.00;;;0.00;;;0.00;;;0.00;;0.00;0.00;6.00;0.00;0.00;6.00;0.00;0.00;5.00;;;;;;;;;0.00;15.00;309.00;300.00;;
25;1_Klein_nat;;467.00;Kaufleuten, Zürich;Dabu Fantastic;31.03.2022;550.00;;;;;;;;;;;;0.00;444.00;;;12742.27;;;5291.79;;;;;0.00;;0.00;0.00;;;;;;10.00;0.80;;0.00;20.00;;;;1.00;0.00;;;;10.00;0.20;;0.00;;300.00;;;;;;;;;;;;;;;;;;;600.00;;;;;0.00;0.00;0.00;0.00;0.00;0.00;;;;;;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;0.00;;;;;;;;;;0.00;;222.00;;;
26;2_Klein_int;;1699.00;X-TRA, Zürich;Mighty Oaks;31.03.2022;890.00;;;;;;;;;;;;0.00;1614.00;;;64266.47;;;34872.04;15.00;;0.30;0.00;0.00;;0.00;0.00;8.00;;;0.00;;10.00;0.80;;0.00;20.00;0.70;210.00;;1.00;0.00;;;0.00;10.00;0.20;;210.00;18.00;300.00;1.00;;300.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;;;0.00;1.00;0.00;0.00;600.00;0.00;;;;0.00;0.00;0.00;0.00;0.00;0.00;;;5.00;;;;;0.00;;;15.00;;;0.00;;;0.00;;;10.50;9.00;0.00;4.50;9.00;0.00;15.00;9.00;;;;;;;;;0.00;20.00;807.00;800.00;;
27;4_Gross_int;PSS;2309.00;Halle 622, Zürich;The War On Drugs;04.04.2022;2351.00;;;;;;;;;;;;0.00;2194.00;;;83738.64;;;58232.62;29.00;10.00;0.20;58.00;0.00;;0.00;0.00;;;;;21.00;10.00;0.80;168.00;226.00;20.00;0.80;464.00;200.00;1.00;0.00;;;;10.00;0.20;42.00;506.00;;300.00;2.00;;600.00;;;;;;;;;;;;;;;3.00;600.00;1800.00;;;;0.00;0.00;0.00;0.00;0.00;0.00;;72.00;;;30.00;;;0.00;;;29.00;;;0.00;;;0.00;;;20.30;;;8.70;;;29.00;;;;;;;;;;21.00;61.00;1097.00;;;
28;2_Klein_int;;1827.00;X-TRA, Zürich;Khruangbin;05.04.2022;890.00;;;;;;;;;;;;0.00;1736.00;;;69108.21;;;37499.24;15.00;;0.30;0.00;0.00;;0.00;0.00;8.00;;;0.00;;10.00;0.80;;0.00;20.00;0.70;210.00;;1.00;0.00;;;0.00;10.00;0.20;;210.00;18.00;300.00;1.00;;300.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;;;0.00;1.00;0.00;0.00;600.00;0.00;;;;0.00;0.00;0.00;0.00;0.00;0.00;;;5.00;;;;;0.00;;;15.00;;;0.00;;;0.00;;;10.50;9.00;0.00;4.50;9.00;0.00;15.00;9.00;;;;;;;;;0.00;20.00;868.00;800.00;;
